Gender,Married,Education,Self_Employed,ApplicantIncome,LoanAmount,Credit_History,Property_Area,Loan_Status
Female,Yes,Not Graduate,Yes,5667,141,1,Semiurban,Approved
Female,No,Graduate,Yes,19273,592,0,Semiurban,Not Approved
Female,No,Not Graduate,Yes,9857,581,1,Rural,Approved
Female,No,Not Graduate,Yes,7654,496,1,Semiurban,Approved
Female,Yes,Graduate,No,23304,439,1,Rural,Approved
Female,No,Graduate,Yes,10420,92,1,Urban,Approved
Female,No,Graduate,No,19927,303,1,Semiurban,Approved
Male,Yes,Not Graduate,No,22081,179,1,Urban,Approved
Male,No,Graduate,No,21380,109,0,Semiurban,Not Approved
Female,No,Not Graduate,Yes,18662,516,1,Urban,Approved
Female,Yes,Graduate,Yes,1713,336,0,Semiurban,Not Approved
Female,No,Not Graduate,Yes,5262,566,1,Semiurban,Approved
Female,Yes,Not Graduate,Yes,14899,516,1,Semiurban,Approved
Female,Yes,Graduate,No,11268,394,0,Semiurban,Not Approved
Female,No,Not Graduate,Yes,12140,691,1,Semiurban,Approved
Female,No,Not Graduate,Yes,8231,431,0,Semiurban,Not Approved
Female,No,Graduate,No,21001,302,1,Semiurban,Approved
Male,No,Not Graduate,Yes,7291,105,1,Semiurban,Approved
Female,Yes,Graduate,No,17322,512,1,Semiurban,Approved
Male,No,Not Graduate,No,10283,506,0,Urban,Not Approved
Female,Yes,Graduate,No,15121,132,1,Rural,Approved
Female,No,Graduate,No,17519,148,1,Semiurban,Approved
Male,No,Not Graduate,No,4220,198,1,Rural,Approved
Female,No,Not Graduate,No,10405,378,1,Semiurban,Approved
Male,Yes,Not Graduate,No,10627,205,0,Semiurban,Not Approved
Female,No,Not Graduate,No,23931,239,1,Urban,Approved
Female,No,Not Graduate,Yes,17885,543,0,Urban,Not Approved
Male,No,Graduate,Yes,7868,312,1,Rural,Approved
Female,No,Not Graduate,Yes,15556,129,1,Urban,Approved
Male,Yes,Graduate,Yes,13736,449,0,Urban,Not Approved
Female,No,Graduate,No,19833,658,0,Rural,Not Approved
Male,Yes,Not Graduate,Yes,24616,309,0,Urban,Not Approved
Male,Yes,Graduate,No,15951,664,1,Semiurban,Approved
Female,Yes,Graduate,Yes,18801,601,1,Rural,Approved
Female,Yes,Graduate,Yes,21058,150,1,Rural,Approved
Male,Yes,Graduate,Yes,11933,408,0,Semiurban,Not Approved
Female,Yes,Not Graduate,No,17025,429,0,Urban,Not Approved
Female,No,Graduate,Yes,24898,270,1,Rural,Approved
Female,Yes,Not Graduate,No,1589,469,0,Rural,Not Approved
Male,Yes,Not Graduate,No,19593,173,1,Semiurban,Approved
Male,Yes,Graduate,Yes,11861,471,1,Semiurban,Approved
Male,No,Not Graduate,Yes,17869,280,1,Urban,Approved
Male,No,Not Graduate,Yes,4541,112,1,Rural,Approved
Male,Yes,Not Graduate,No,1605,534,1,Urban,Not Approved
Male,No,Graduate,Yes,10578,677,0,Urban,Not Approved
Male,Yes,Not Graduate,No,19779,623,0,Semiurban,Not Approved
Male,Yes,Not Graduate,No,7590,532,0,Rural,Not Approved
Male,No,Not Graduate,Yes,7582,568,1,Rural,Approved
Female,Yes,Graduate,Yes,18518,204,0,Rural,Not Approved
Male,No,Not Graduate,No,3425,141,1,Semiurban,Not Approved
Female,No,Graduate,No,19940,575,1,Semiurban,Approved
Female,Yes,Graduate,No,8417,504,1,Semiurban,Approved
Female,Yes,Graduate,Yes,21028,647,1,Semiurban,Approved
Male,No,Graduate,No,2052,694,0,Semiurban,Not Approved
Male,Yes,Graduate,Yes,23267,559,1,Rural,Approved
Male,Yes,Graduate,No,5411,232,1,Urban,Approved
Male,Yes,Not Graduate,No,4889,435,0,Rural,Not Approved
Female,No,Graduate,Yes,15129,623,0,Urban,Not Approved
Male,No,Not Graduate,No,3930,454,1,Semiurban,Not Approved
Male,Yes,Not Graduate,Yes,1958,295,1,Urban,Not Approved
Male,No,Graduate,Yes,14895,640,1,Rural,Approved
Male,No,Not Graduate,No,1707,699,1,Rural,Not Approved
Male,No,Not Graduate,Yes,2399,520,1,Urban,Not Approved
Female,No,Not Graduate,Yes,13153,472,1,Semiurban,Approved
Male,No,Not Graduate,No,17905,114,1,Semiurban,Approved
Female,Yes,Graduate,Yes,10101,62,1,Rural,Approved
Male,Yes,Not Graduate,Yes,2394,262,1,Urban,Not Approved
Female,Yes,Graduate,Yes,2014,291,1,Semiurban,Not Approved
Male,No,Not Graduate,No,22788,542,1,Semiurban,Approved
Male,No,Not Graduate,Yes,5609,262,1,Rural,Approved
Female,Yes,Graduate,No,14758,387,1,Semiurban,Approved
Female,No,Not Graduate,No,16813,222,1,Urban,Approved
Female,Yes,Not Graduate,Yes,16849,213,1,Rural,Approved
Male,Yes,Not Graduate,Yes,8679,514,1,Rural,Approved
Female,Yes,Graduate,Yes,11826,546,1,Urban,Approved
Male,No,Not Graduate,No,13287,444,0,Rural,Not Approved
Male,No,Graduate,Yes,3060,357,1,Semiurban,Not Approved
Female,Yes,Not Graduate,Yes,15112,232,0,Semiurban,Not Approved
Female,Yes,Graduate,Yes,19150,678,1,Urban,Approved
Male,Yes,Graduate,Yes,21522,559,1,Semiurban,Approved
Male,Yes,Not Graduate,Yes,21311,595,1,Urban,Approved
Female,No,Not Graduate,No,6280,613,1,Urban,Approved
Female,No,Graduate,No,19811,673,1,Semiurban,Approved
Female,Yes,Graduate,Yes,13394,643,1,Urban,Approved
Male,Yes,Not Graduate,Yes,3856,276,1,Semiurban,Not Approved
Male,No,Graduate,Yes,6290,485,1,Rural,Approved
Male,No,Not Graduate,Yes,18190,471,0,Rural,Not Approved
Male,Yes,Not Graduate,No,21549,603,0,Urban,Not Approved
Male,Yes,Not Graduate,Yes,11681,70,1,Semiurban,Approved
Male,Yes,Not Graduate,No,8557,603,1,Semiurban,Approved
Female,No,Graduate,No,17582,446,0,Rural,Not Approved
Male,No,Not Graduate,Yes,2161,674,0,Rural,Not Approved
Male,No,Graduate,No,6144,154,0,Semiurban,Not Approved
Male,Yes,Not Graduate,No,17211,241,1,Urban,Approved
Female,Yes,Graduate,No,4420,66,1,Rural,Approved
Male,No,Not Graduate,No,17502,169,1,Urban,Approved
Male,No,Graduate,Yes,15525,442,0,Urban,Not Approved
Female,Yes,Graduate,Yes,10446,474,1,Rural,Approved
Male,No,Not Graduate,No,14232,178,0,Urban,Not Approved
Male,No,Not Graduate,Yes,7736,179,0,Urban,Not Approved
Male,Yes,Not Graduate,Yes,17809,621,1,Semiurban,Approved
Male,No,Not Graduate,Yes,23962,609,0,Urban,Not Approved
Male,Yes,Graduate,Yes,15018,78,0,Semiurban,Not Approved
Female,Yes,Not Graduate,Yes,1852,146,0,Rural,Not Approved
Female,Yes,Graduate,No,8505,59,0,Rural,Not Approved
Female,Yes,Graduate,Yes,15536,291,0,Semiurban,Not Approved
Male,Yes,Not Graduate,Yes,18042,281,1,Rural,Approved
Male,Yes,Graduate,Yes,2456,333,1,Urban,Not Approved
Male,Yes,Graduate,Yes,3571,249,1,Urban,Not Approved
Female,No,Graduate,No,10095,128,1,Urban,Approved
Male,Yes,Graduate,No,16640,222,0,Rural,Not Approved
Male,Yes,Not Graduate,No,14303,516,1,Urban,Approved
Female,No,Not Graduate,No,4953,630,1,Rural,Approved
Male,No,Not Graduate,Yes,8175,465,0,Urban,Not Approved
Female,No,Not Graduate,No,2455,498,1,Semiurban,Not Approved
Female,Yes,Graduate,Yes,7795,136,0,Rural,Not Approved
Female,No,Graduate,Yes,17421,150,1,Rural,Approved
Male,Yes,Not Graduate,Yes,19596,57,1,Urban,Approved
Male,Yes,Not Graduate,Yes,16782,249,1,Rural,Approved
Male,Yes,Not Graduate,Yes,6203,554,1,Rural,Approved
Male,Yes,Graduate,No,8063,136,1,Semiurban,Approved
Male,No,Not Graduate,No,23515,92,1,Semiurban,Approved
Male,No,Not Graduate,No,13503,434,0,Urban,Not Approved
Male,Yes,Not Graduate,No,12317,670,0,Semiurban,Not Approved
Female,Yes,Graduate,Yes,12671,484,1,Urban,Approved
Male,Yes,Graduate,No,14082,457,1,Urban,Approved
Female,No,Graduate,Yes,13701,532,1,Urban,Approved
Male,Yes,Graduate,No,19278,66,1,Rural,Approved
Male,Yes,Graduate,Yes,13973,694,1,Semiurban,Approved
Male,No,Graduate,Yes,10961,197,1,Urban,Approved
Female,No,Graduate,No,22616,326,1,Semiurban,Approved
Female,Yes,Graduate,Yes,21598,281,1,Urban,Approved
Female,No,Not Graduate,Yes,17096,415,1,Semiurban,Approved
Female,No,Not Graduate,No,2029,277,1,Semiurban,Not Approved
Male,Yes,Graduate,Yes,20842,485,0,Urban,Not Approved
Female,No,Graduate,No,21475,448,1,Rural,Approved
Male,Yes,Not Graduate,No,24779,260,0,Semiurban,Not Approved
Male,No,Graduate,No,14265,440,0,Rural,Not Approved
Female,Yes,Graduate,Yes,15410,548,0,Rural,Not Approved
Female,Yes,Graduate,Yes,13061,589,1,Urban,Approved
Female,Yes,Not Graduate,Yes,10631,612,1,Urban,Approved
Female,No,Not Graduate,No,2025,540,0,Urban,Not Approved
Female,Yes,Not Graduate,Yes,24361,491,1,Semiurban,Approved
Female,No,Not Graduate,No,17885,310,1,Urban,Approved
Female,Yes,Not Graduate,No,1874,399,1,Urban,Not Approved
Female,Yes,Graduate,Yes,13697,401,0,Semiurban,Not Approved
Male,No,Not Graduate,No,6148,569,1,Semiurban,Approved
Female,Yes,Graduate,Yes,3865,369,1,Urban,Not Approved
Female,Yes,Graduate,Yes,19409,187,0,Urban,Not Approved
Male,No,Not Graduate,Yes,3146,599,0,Urban,Not Approved
Female,Yes,Not Graduate,Yes,1513,672,1,Urban,Not Approved
Male,Yes,Graduate,Yes,6099,417,1,Rural,Approved
Male,Yes,Graduate,No,3778,269,1,Rural,Not Approved
Female,Yes,Graduate,No,15796,386,1,Urban,Approved
Male,No,Not Graduate,No,4655,272,1,Rural,Approved
Male,No,Not Graduate,Yes,9821,697,1,Semiurban,Approved
Male,Yes,Not Graduate,Yes,5314,409,0,Rural,Not Approved
Male,No,Not Graduate,Yes,14625,378,1,Rural,Approved
Female,Yes,Not Graduate,No,4716,512,1,Urban,Approved
Male,No,Graduate,Yes,3613,610,1,Rural,Not Approved
Female,Yes,Not Graduate,No,22240,431,1,Rural,Approved
Male,Yes,Graduate,No,11738,639,1,Rural,Approved
Male,Yes,Graduate,Yes,15260,666,0,Rural,Not Approved
Male,Yes,Graduate,Yes,23427,218,1,Semiurban,Approved
Male,Yes,Not Graduate,No,22439,266,0,Urban,Not Approved
Female,Yes,Not Graduate,Yes,14088,427,1,Urban,Approved
Female,No,Not Graduate,No,24946,168,0,Semiurban,Not Approved
Male,Yes,Graduate,Yes,4874,239,0,Rural,Not Approved
Male,No,Graduate,Yes,7930,419,1,Semiurban,Approved
Female,Yes,Graduate,No,21350,198,0,Rural,Not Approved
Male,No,Graduate,Yes,20965,537,1,Semiurban,Approved
Male,No,Graduate,No,13470,423,1,Urban,Approved
Male,No,Graduate,Yes,2129,209,0,Urban,Not Approved
Female,Yes,Not Graduate,No,18153,400,0,Urban,Not Approved
Female,Yes,Not Graduate,No,12331,337,1,Rural,Approved
Female,No,Not Graduate,Yes,7224,337,1,Rural,Approved
Male,Yes,Not Graduate,No,23781,275,1,Semiurban,Approved
Male,No,Graduate,Yes,12583,572,1,Semiurban,Approved
Female,Yes,Graduate,Yes,14649,571,1,Urban,Approved
Female,No,Not Graduate,Yes,21316,322,1,Rural,Approved
Female,No,Graduate,No,10972,451,1,Semiurban,Approved
Female,Yes,Not Graduate,No,7776,232,1,Rural,Approved
Male,No,Not Graduate,Yes,17135,537,0,Rural,Not Approved
Female,Yes,Not Graduate,Yes,7395,173,1,Urban,Approved
Male,No,Graduate,No,15494,675,1,Urban,Approved
Female,No,Not Graduate,Yes,24999,463,1,Rural,Approved
Male,Yes,Not Graduate,Yes,24540,221,1,Rural,Approved
Female,Yes,Not Graduate,No,12052,337,1,Rural,Approved
Female,Yes,Graduate,Yes,18459,484,1,Rural,Approved
Female,No,Graduate,No,24913,162,1,Urban,Approved
Female,Yes,Not Graduate,Yes,7599,171,1,Semiurban,Approved
Male,No,Graduate,No,10999,593,1,Urban,Approved
Female,No,Graduate,Yes,21076,271,1,Semiurban,Approved
Male,Yes,Graduate,Yes,4678,680,1,Rural,Approved
Male,Yes,Graduate,No,23936,88,1,Semiurban,Approved
Male,No,Graduate,Yes,20618,546,1,Urban,Approved
Male,No,Graduate,No,7616,282,1,Urban,Approved
Female,Yes,Graduate,Yes,17063,579,1,Rural,Approved
Male,Yes,Graduate,No,5068,198,0,Urban,Not Approved
Male,Yes,Graduate,No,11347,446,1,Rural,Approved
Male,Yes,Graduate,No,15635,687,0,Urban,Not Approved
Female,Yes,Not Graduate,No,20087,351,1,Urban,Approved
Female,No,Not Graduate,Yes,19274,409,1,Rural,Approved
Female,No,Graduate,Yes,3242,287,0,Semiurban,Not Approved
Female,No,Not Graduate,No,19809,696,0,Urban,Not Approved
Male,No,Not Graduate,No,2119,285,1,Semiurban,Not Approved
Male,Yes,Graduate,No,19158,252,1,Urban,Approved
Female,Yes,Graduate,Yes,18840,305,1,Urban,Approved
Male,Yes,Graduate,Yes,3439,647,0,Urban,Not Approved
Male,No,Not Graduate,Yes,21837,284,1,Urban,Approved
Male,No,Not Graduate,Yes,17501,394,1,Semiurban,Approved
Female,Yes,Graduate,No,2468,583,1,Semiurban,Not Approved
Female,Yes,Graduate,No,16346,515,1,Urban,Approved
Male,No,Graduate,No,1781,590,1,Urban,Not Approved
Female,No,Not Graduate,Yes,16860,262,0,Semiurban,Not Approved
Female,Yes,Not Graduate,Yes,7762,512,1,Rural,Approved
Female,Yes,Not Graduate,Yes,2558,485,1,Rural,Not Approved
Female,No,Not Graduate,No,22177,332,1,Semiurban,Approved
Female,Yes,Graduate,No,12224,611,0,Urban,Not Approved
Male,Yes,Graduate,Yes,6678,656,1,Urban,Approved
Female,Yes,Graduate,No,8480,512,0,Rural,Not Approved
Male,No,Graduate,Yes,10700,456,1,Rural,Approved
Male,No,Not Graduate,Yes,2729,137,1,Semiurban,Not Approved
Female,No,Not Graduate,No,22469,93,1,Rural,Approved
Male,No,Graduate,Yes,9967,510,0,Semiurban,Not Approved
Male,No,Graduate,No,20624,327,0,Rural,Not Approved
Male,No,Not Graduate,Yes,3789,470,1,Rural,Not Approved
Female,No,Graduate,No,2739,402,0,Rural,Not Approved
Female,Yes,Not Graduate,No,6870,564,0,Urban,Not Approved
Male,Yes,Graduate,No,17670,679,1,Urban,Approved
Female,Yes,Graduate,Yes,1625,68,1,Urban,Not Approved
Female,Yes,Graduate,Yes,14004,72,0,Rural,Not Approved
Female,Yes,Graduate,No,16898,462,1,Semiurban,Approved
Female,Yes,Graduate,No,23226,79,0,Semiurban,Not Approved
Male,Yes,Graduate,Yes,8138,157,1,Semiurban,Approved
Male,No,Graduate,Yes,8070,416,1,Semiurban,Approved
Female,No,Not Graduate,Yes,4749,330,1,Urban,Approved
Female,Yes,Not Graduate,No,10610,177,1,Urban,Approved
Male,Yes,Not Graduate,Yes,9095,278,1,Rural,Approved
Male,No,Not Graduate,Yes,15105,160,1,Rural,Approved
Female,Yes,Not Graduate,No,13615,185,0,Semiurban,Not Approved
Male,Yes,Graduate,Yes,7794,411,1,Urban,Approved
Female,No,Graduate,Yes,24411,235,1,Semiurban,Approved
Female,Yes,Not Graduate,Yes,7257,633,1,Rural,Approved
Male,No,Graduate,No,14095,178,1,Rural,Approved
Male,Yes,Not Graduate,No,3469,310,1,Semiurban,Not Approved
Female,No,Not Graduate,No,12485,564,0,Rural,Not Approved
Female,No,Graduate,No,18775,498,1,Semiurban,Approved
Male,No,Graduate,No,5970,153,1,Urban,Approved
Female,Yes,Graduate,No,11725,532,1,Semiurban,Approved
Male,No,Not Graduate,No,11056,273,1,Urban,Approved
Female,Yes,Graduate,Yes,10706,540,1,Urban,Approved
Male,Yes,Not Graduate,Yes,11491,522,1,Rural,Approved
Male,Yes,Not Graduate,No,24696,59,0,Rural,Not Approved
Male,Yes,Not Graduate,Yes,9019,454,0,Rural,Not Approved
Female,No,Graduate,Yes,15169,351,0,Semiurban,Not Approved
Female,No,Graduate,No,6112,280,1,Semiurban,Approved
Male,Yes,Not Graduate,Yes,13873,115,0,Rural,Not Approved
Female,Yes,Graduate,Yes,19082,161,1,Semiurban,Approved
Male,No,Graduate,Yes,17052,62,1,Rural,Approved
Male,Yes,Graduate,Yes,16146,442,1,Semiurban,Approved
Female,No,Not Graduate,Yes,6738,549,1,Urban,Approved
Female,Yes,Not Graduate,No,17077,647,0,Urban,Not Approved
Male,Yes,Graduate,No,23973,283,1,Rural,Approved
Female,No,Not Graduate,No,24141,651,1,Semiurban,Approved
Female,Yes,Graduate,Yes,17004,363,1,Semiurban,Approved
Male,No,Graduate,No,5219,615,1,Urban,Approved
Male,Yes,Graduate,Yes,1802,61,1,Urban,Not Approved
Female,Yes,Graduate,Yes,13644,258,1,Rural,Approved
Male,Yes,Not Graduate,Yes,18870,63,1,Urban,Approved
Male,No,Not Graduate,Yes,11555,682,1,Rural,Approved
Female,Yes,Not Graduate,No,5940,467,1,Urban,Approved
Male,Yes,Graduate,No,22793,486,0,Urban,Not Approved
Male,Yes,Graduate,Yes,4572,426,1,Semiurban,Approved
Female,Yes,Graduate,No,15098,69,0,Urban,Not Approved
Female,No,Not Graduate,Yes,15787,636,1,Urban,Approved
Male,No,Graduate,No,15465,119,1,Rural,Approved
Male,Yes,Not Graduate,No,21008,260,0,Urban,Not Approved
Female,No,Not Graduate,Yes,11019,150,1,Rural,Approved
Female,Yes,Not Graduate,No,14880,181,1,Urban,Approved
Female,Yes,Not Graduate,Yes,13365,672,1,Urban,Approved
Female,Yes,Not Graduate,No,9625,430,1,Rural,Approved
Male,No,Not Graduate,Yes,4791,181,1,Semiurban,Approved
Female,No,Graduate,Yes,5533,69,0,Rural,Not Approved
Female,No,Graduate,No,6605,585,1,Rural,Approved
Male,No,Not Graduate,No,18587,276,0,Rural,Not Approved
Female,No,Not Graduate,Yes,9633,203,1,Semiurban,Approved
Male,No,Graduate,No,18458,518,0,Urban,Not Approved
Female,No,Not Graduate,No,7204,454,1,Rural,Approved
Female,No,Not Graduate,Yes,9348,251,1,Rural,Approved
Female,No,Graduate,Yes,23092,87,0,Semiurban,Not Approved
Male,Yes,Not Graduate,No,14475,237,1,Rural,Approved
Male,No,Not Graduate,Yes,8424,106,1,Urban,Approved
Female,No,Not Graduate,Yes,21712,69,1,Semiurban,Approved
Male,No,Graduate,Yes,21114,322,1,Urban,Approved
Male,No,Graduate,No,1988,168,1,Urban,Not Approved
Male,No,Graduate,No,8614,632,1,Semiurban,Approved
Male,No,Not Graduate,Yes,17240,565,0,Rural,Not Approved
Male,No,Not Graduate,No,4673,270,0,Urban,Not Approved
Male,No,Graduate,Yes,3167,575,1,Urban,Not Approved
Female,No,Not Graduate,No,5614,564,1,Urban,Approved
Female,No,Not Graduate,Yes,5053,385,1,Urban,Approved
Male,No,Not Graduate,Yes,9261,104,1,Semiurban,Approved
Female,Yes,Not Graduate,No,2500,549,1,Semiurban,Not Approved
Female,Yes,Not Graduate,Yes,17138,585,1,Urban,Approved
Female,No,Graduate,No,19272,211,1,Rural,Approved
Female,No,Not Graduate,No,6950,643,1,Urban,Approved
Male,Yes,Graduate,Yes,5212,208,1,Rural,Approved
Female,No,Not Graduate,Yes,2867,237,1,Urban,Not Approved
Female,Yes,Graduate,No,9689,109,1,Rural,Approved
Male,Yes,Not Graduate,Yes,10513,368,1,Urban,Approved
Male,Yes,Graduate,Yes,18338,260,0,Rural,Not Approved
Female,Yes,Not Graduate,Yes,20656,455,0,Urban,Not Approved
Female,Yes,Graduate,Yes,5226,158,1,Urban,Approved
Female,No,Not Graduate,Yes,6306,125,1,Rural,Approved
Female,Yes,Graduate,No,3690,591,1,Semiurban,Not Approved
Female,No,Not Graduate,No,10608,363,1,Rural,Approved
Female,No,Graduate,Yes,13678,166,0,Semiurban,Not Approved
Male,Yes,Graduate,Yes,4375,68,1,Urban,Approved
Female,Yes,Not Graduate,Yes,7092,481,1,Rural,Approved
Female,No,Not Graduate,No,19324,399,1,Rural,Approved
Male,Yes,Graduate,Yes,14092,232,1,Rural,Approved
Male,Yes,Not Graduate,No,10427,162,1,Semiurban,Approved
Male,No,Graduate,No,23943,232,0,Semiurban,Not Approved
Male,No,Graduate,No,15937,530,1,Urban,Approved
Female,Yes,Graduate,Yes,13030,195,1,Semiurban,Approved
Female,No,Not Graduate,No,8510,677,1,Semiurban,Approved
Female,Yes,Graduate,Yes,12707,162,1,Urban,Approved
Female,Yes,Graduate,No,4489,525,0,Rural,Not Approved
Female,Yes,Not Graduate,Yes,13540,352,0,Rural,Not Approved
Female,No,Not Graduate,No,10718,167,1,Urban,Approved
Male,No,Not Graduate,Yes,24112,210,1,Rural,Approved
Female,No,Not Graduate,No,7971,450,0,Semiurban,Not Approved
Male,No,Graduate,Yes,4363,247,0,Urban,Not Approved
Male,No,Graduate,Yes,12193,309,1,Urban,Approved
Female,Yes,Graduate,Yes,2677,96,0,Urban,Not Approved
Male,Yes,Graduate,Yes,6260,448,1,Rural,Approved
Female,Yes,Not Graduate,No,1511,608,1,Urban,Not Approved
Male,Yes,Graduate,No,23136,127,1,Urban,Approved
Female,No,Graduate,Yes,17853,173,0,Urban,Not Approved
Male,Yes,Not Graduate,No,22283,124,0,Rural,Not Approved
Female,No,Graduate,Yes,13056,186,1,Semiurban,Approved
Female,Yes,Graduate,Yes,13063,651,1,Urban,Approved
Female,No,Graduate,No,15551,449,1,Semiurban,Approved
Female,No,Graduate,Yes,12522,554,0,Rural,Not Approved
Female,Yes,Graduate,Yes,9734,549,1,Rural,Approved
Male,Yes,Graduate,No,23329,622,1,Rural,Approved
Male,Yes,Not Graduate,Yes,17673,187,1,Rural,Approved
Male,Yes,Not Graduate,Yes,14678,99,1,Semiurban,Approved
Female,No,Graduate,Yes,8070,668,1,Urban,Approved
